  years of   study in 2017 E.C,Academic program (Bsc),Age,Could you briefly share In what ways have these experiences shaped your academic choices and career development? ,Sum of Cumulative GPA,Do you want to participate in the research interview?,Fields,Gender,Have you participated in any of the following exposure experiences? (Select all that apply),Sum of How have Career fairs exposure influenced your career choices? ,Sum of How have Family influenced your career choices? ,Sum of How have Friends influenced your career choices? ,Sum of How have Internships exposure influenced your career choices?,Sum of How have Job shadowing exposure influenced your career choices?,Sum of How have Mentorship programs exposure influenced your career choices?,Sum of How have University coursework exposure influenced your career choices? ,Sum of How often do you use the career guidance services offered by the university?,Sum of How satisfied are you with the career guidance services provided by the university?,I picked my academic program primarily because of my grades,Language,Study_Category,Sum of To what extent do you feel that your exposure experiences have provided a clear sense of direction for your career?,What additional types of exposure experiences do you think the university should offer to better support students' career development?,What additional types of exposure experiences do you think the university should offer to better support students' career development?.1,What improvements would you suggest for the university’s career guidance services?,Which University are you enrolled in?
2,Information Systems,21-23,"As an Information Systems (IS) student, your experiences likely have had a significant impact on shaping both your academic and career development. Here are a few ways that might manifest:

    Problem-Solving and Critical Thinking: Experiences in solving real-world business problems through technology may have fueled your interest in systems analysis, programming, and IT management. These skills are central to your academic choices, leading you to dive deeper into areas like data management, cybersecurity, or enterprise systems.

    Interest in Technology Integration: If you’ve had hands-on experience with software development, networking, or databases, you might be inclined to explore areas where technology can streamline business operations. This could lead you to specialize in areas like business intelligence, cloud computing, or IT consulting.",3.65,Yes,STEM,Male,"Mentorship programs, Searching professionals through social networks",3,3,3,4,3,3,3,3,3,No,English,Lower,3,"Internships and Work-Based Learning

    Industry-Specific Internships: Expanding opportunities for students to intern with local businesses, NGOs, and government agencies would provide hands-on experience in their fields of study. Partnerships with various industries can also offer students tailored internships in fields like agriculture, tech, healthcare, and education.
    Short-Term Work Placements: Not all students are able to commit to long-term internships, so offering shorter-term placements (e.g., 2–3 weeks) can expose students to work environments without the time commitment of a full internship.

2. Professional Networking Events

    Career Fairs and Job Expos: Organizing regular career fairs and job expos where students can meet employers directly and explore job opportunities is essential. Bringing a mix of local and international companies would give students diverse options for their careers.
    Industry Networking Nights: Hosting networking nights where students can engage with alumni, professionals, and potential employers in an informal setting could help students develop professional relationships and gain insight into industry trends.
    Panel Discussions and Guest Speakers: Bringing in industry experts and successful alumni to speak about their career journeys and the future of their sectors can offer valuable learning experiences and inspiration.",No response,"Industry Collaboration and Networking Opportunities

    Partnerships with Industry: Universities should strengthen ties with local and international businesses to provide students with internship opportunities, job placements, and real-world insights. These partnerships could also lead to career fairs, guest lectures, and networking events featuring industry professionals.
    Alumni Networks: Building and actively maintaining alumni networks can provide valuable mentorship and career advice for current students. Alumni can also act as bridges between the university and potential employers.

2. Career Counseling and Personalized Support

    Tailored Career Counseling: Many students may not be aware of the full range of career options available to them. Offering personalized career counseling based on individual skills, interests, and academic strengths could guide students more effectively toward suitable career paths.
    Regular Career Assessments: Providing students with tools like personality assessments or career aptitude tests could help identify their strengths and align them with potential career options.

3. Skills Development and Job Readiness

    Soft Skills Training: While technical skills are essential, many employers also prioritize soft skills like communication, leadership, teamwork, and time management. Universities could offer workshops, seminars, and training sessions to help students improve these essential skills.
    Resume Building & Interview Preparation: Offering specialized workshops on resume writing, cover letter creation, and mock interview sessions can help students feel more confident and prepared when applying for jobs.

4. Job Market Insights and Career Guidance Materials

    Market Research and Data: Providing up-to-date information on job market trends in Ethiopia and globally, including emerging industries, salary ranges, and in-demand skills, would help students make informed career choices.
    Job Search Resources: Developing a centralized online portal or database where students can find job opportunities, internships, and career resources could make the job search process more organized and efficient.

5. Entrepreneurship and Freelancing Support

    Entrepreneurship Guidance: Given the limited availability of formal jobs in some sectors, universities could offer resources and support for students interested in starting their own businesses or working in the gig economy.
    Freelancer Networks: Creating networks for students interested in freelancing could allow them to connect with clients and other freelancers, as well as access resources to improve their work.",AAU
2,Information Systems,21-23,There were few opportunities for me to look for most of them.,2.30,Yes,STEM,Male,No,2,1,2,2,2,5,4,4,3,No,Amharic,Lower,4,If the direction of work experience is prepared for work experience,If the direction of work experience is prepared for work experience,A teacher with skill,Haramaya University
2,Information Technology,18-20,"It is mostly on my own, Most of the things mentioned above didn't have any impact on my choice",3.80,No,STEM,Male,Coding bootcamps,1,1,1,3,4,1,1,1,1,No,English,Lower,4,Create socializing events that gathers students from all departments and make the highly performing students to share their experience to help others grow.,No response,To acknowledge people how to find and be good at your passion by creating events and communities and requesting guests to share their experience on stage.,Kotebe University of Education
2,Information Technology,18-20,My own interest and social media,3.60,Yes,STEM,Male,"University coursework related to career development, Searching professionals through social networks",3,1,1,3,3,3,4,1,2,No,English,Lower,2,Experience from experts through stage programs,Experience from experts through stage programs,To not be lazy and do their job,Hawassa University
2,Management,18-20,Because of my entering year into campus is not far the experience or different courses I take it in management study skill  in university different programs is very rare almost none but in way of life I understand my skill is mostly related with this and the comment of friends and families are pull my interest in this field of study,3.70,No,Business & Economics,Male,No,3,3,4,1,2,1,1,1,1,Yes,English,Lower,3,Deep information about each subject,Deep information about each subject,Because I am not take it the guidance I don't have the information,AAU
2,Marketing Management,21-23,"primArly its is infulenced by the pAssion thAt i hAve but Also it is infulenced by the fActors Above And how you cAn mAke A living of it so the choice thAt i hAve is A summAry of All the things.
thAnk you.",3.00,Yes,Business & Economics,Male,Internships,4,3,4,3,2,4,5,4,4,No,English,Lower,3,No response,No response,i suggest to be Able to spend more time on whAt reAlly the students need which  helps them on the work enviroment,Mekelle Univerisity
2,MD,21-23,By supporting and helping me,3.70,Yes,Other,Male,No,2,1,2,1,1,1,2,1,5,Yes,English,Lower,2,"Giving tutorial based education, especially by teachers","Giving tutorial based education, especially by teachers",Giving good quality education with practical form,Jimma University
2,MD,21-23,I literally am studying what I am studying because of society and my families.,3.60,Yes,Other,Female,No,1,5,4,1,1,1,2,1,1,No,English,Lower,1,To atleast give insight of what students are walking to when choosing a certain career to pursue.,To atleast give insight of what students are walking to when choosing a certain career to pursue.,Never heard of it.,BahirDar University
2,MD,21-23,"The society perceptions , unintentional feelings to make my families proud plus Some surgical videos inspire me to be in medical school .",3.50,Yes,Other,Female,No,1,1,3,1,3,4,3,1,2,No,English,Lower,5,No response,No response,"I am in junior years to get a career guidance . I  think that would be why i haven't experience it yet .... but also i don't think that there is a career guidance in Gondar university , if there was it was by Awaqi.",Gondar University
2,MSc,21-23,"Exposure to internships, mentorship programs, and university coursework has significantly shaped my career choices by giving me hands-on experience and insight into real-world challenges. Internships provided practical skills and helped me explore my interest in real-life work, while mentorship programs offered valuable guidance and advice on navigating my career path. Career fairs exposed me to industry trends and job opportunities, and university coursework built a strong theoretical foundation. Family and friends also influenced my decisions, offering encouragement and feedback that helped me make more informed choices.",3.25,No,Other,Male,"Job shadowing, Mentorship programs, University coursework related to career development, Searching professionals through social networks",2,4,3,5,4,4,4,1,1,No,English,Lower,4,"I believe the university could introduce more hands-on opportunities like cooperative education, where students alternate between classroom learning and working in their field of study. Additionally, offering industry-specific boot camps, hackathons, and virtual work experiences could further enhance career readiness. Expanding partnerships with companies for longer-term internships or job placements would also help students gain more in-depth exposure to their future careers.",No response,"I would suggest offering more personalized career counseling sessions and workshops focused on specific industries, such as technology and other new things. Additionally, increasing the availability of internship placements, organizing more frequent career fairs, and providing access to mentorship programs with industry professionals would enhance the overall effectiveness of the career guidance services. Expanding online resources, such as job boards and career planning tools, could also be helpful for students preparing for the job market.",HiLCoE College
